suite_dir,run_dir,engine,model_key,prompt_index,prompt_text,replicate_index,run_seed,final_step,char_count,word_count,type_token_ratio,mattr_50,mtld,hapax_ratio,word_entropy_bits,char_entropy_bits,distinct_1,distinct_2,distinct_3,repeated_bigram_fraction,repeated_trigram_fraction,repeated_4gram_fraction,prompt_tfidf_cosine,previous_step_tfidf_cosine,prompt_lexical_overlap,sentence_count,avg_sentence_length_words,avg_syllables_per_word,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,native_input_tokens,native_new_tokens,native_output_tokens,native_context_limit,native_prompt_truncated,native_requested_max_new_tokens,native_effective_max_new_tokens,pos_noun_ratio,pos_verb_ratio,pos_adj_ratio,pos_adv_ratio,pos_pron_ratio
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T090448Z_a-forgotten-machine-beneath-the,rtsm,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1000,5,1579,265,0.879245283018868,0.9888888888888876,614.4687500000002,0.7735849056603774,7.795094681509664,4.486177224171066,0.879245283018868,1.0,1.0,0.0,0.0,0.0,0.22526837712377404,0.997535220566353,1.0,10.0,26.5,1.509433962264151,52.239386792452834,12.556320754716985,14.97735849056604,338,2,340,1024,False,96,96,0.15185185185185185,0.15185185185185185,0.07777777777777778,0.17777777777777778,0.11481481481481481
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\agc_20260404T090459Z_a-forgotten-machine-beneath-the,agc,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1001,3,1219,204,0.6911764705882353,0.9286451612903227,180.35239567233384,0.4852941176470588,6.924243035681837,4.572616056360454,0.6911764705882353,0.812807881773399,0.8168316831683168,0.18719211822660098,0.18316831683168322,0.17910447761194026,0.02870792354871192,0.9282200330651291,0.17391304347826086,7.0,29.142857142857142,1.5392156862745099,47.037352941176465,13.938459383753504,16.95126050420168,280,1,281,1024,False,120,120,0.1778846153846154,0.10576923076923077,0.09134615384615384,0.11538461538461539,0.1346153846153846
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T090527Z_a-forgotten-machine-beneath-the,lvtc,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1002,4,5,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,165,2,167,1024,False,128,128,0.0,0.0,0.0,0.0,0.0
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\srpf_20260404T090537Z_a-forgotten-machine-beneath-the,srpf,distilgpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1003,4,270,43,1.0,1.0,43.0,1.0,5.426264754702098,4.215803787450985,1.0,1.0,1.0,0.0,0.0,0.0,0.00800235164604267,0.01771213854158001,0.043478260869565216,3.0,14.333333333333334,1.5116279069767442,64.40294573643413,7.837209302325583,11.314728682170543,863,52,915,1024,True,160,160,0.23255813953488372,0.23255813953488372,0.09302325581395349,0.046511627906976744,0.13953488372093023
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T090552Z_a-forgotten-machine-beneath-the,rtsm,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1004,5,2824,416,0.9447115384615384,0.9897547683923699,2106.768695652173,0.8966346153846154,8.584418894808161,4.464648520828686,0.9447115384615384,1.0,1.0,0.0,0.0,0.0,0.1845717126479277,0.8913399213952831,1.0,9.0,46.22222222222222,1.7668269230769231,10.445886752136772,23.285224358974364,25.892735042735048,449,96,545,1024,False,96,96,0.2243436754176611,0.18138424821002386,0.081145584725537,0.14558472553699284,0.09069212410501193
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\agc_20260404T090625Z_a-forgotten-machine-beneath-the,agc,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1005,3,641,109,0.963302752293578,0.9833333333333336,831.67,0.926605504587156,6.694789829364071,4.358898035658237,0.963302752293578,1.0,1.0,0.0,0.0,0.0,0.00985119889135533,0.004732836358976989,0.13043478260869565,4.0,27.25,1.5596330275229358,47.23129587155967,13.441169724770642,15.670642201834864,205,120,325,1024,False,120,120,0.1388888888888889,0.14814814814814814,0.05555555555555555,0.1388888888888889,0.17592592592592593
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\lvtc_20260404T090700Z_a-forgotten-machine-beneath-the,lvtc,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1006,4,646,109,0.981651376146789,0.9813333333333335,1663.34,0.9724770642201835,6.724561503656149,4.309188502462212,0.981651376146789,1.0,1.0,0.0,0.0,0.0,0.031799329243503406,0.006996580841804632,0.21739130434782608,3.0,36.333333333333336,1.5321100917431192,40.340152905198806,16.658899082568812,18.93700305810398,207,128,335,1024,False,128,128,0.2018348623853211,0.1834862385321101,0.11009174311926606,0.14678899082568808,0.11926605504587157
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\srpf_20260404T090722Z_a-forgotten-machine-beneath-the,srpf,gpt2,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1007,4,123,22,1.0,1.0,22.0,1.0,4.459431618637295,4.26714483232154,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005285167880780064,0.0,2.0,11.0,1.3181818181818181,84.15181818181821,4.254545454545454,6.218181818181819,361,29,390,1024,False,160,160,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.18181818181818182
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\rtsm_20260404T090754Z_a-forgotten-machine-beneath-the,rtsm,qwen2.5-0.5b-instruct,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1008,5,2699,418,0.7105263157894737,0.8768021680216811,321.3907010272121,0.6124401913875598,7.770065773458405,4.290017625444316,0.7105263157894737,0.9712230215827338,0.9951923076923077,0.02877697841726623,0.004807692307692291,0.0,0.24576425634602816,0.9155411132393568,1.0,20.0,20.9,1.7799043062200957,35.04159569377995,13.56387081339713,16.876746411483253,430,96,526,32768,False,96,96,0.23459715639810427,0.15639810426540285,0.0971563981042654,0.06635071090047394,0.08767772511848342
outputs\suite_20260404T090445Z_factorial,outputs\suite_20260404T090445Z_factorial\agc_20260404T090855Z_a-forgotten-machine-beneath-the,agc,qwen2.5-0.5b-instruct,0,"A forgotten machine beneath the sea continued speaking long after its makers were gone. Each repetition made its message stranger, denser, and more self-aware.",0,1009,3,330,32,0.71875,0.71875,25.485342019543975,0.53125,4.3246987351738495,5.140036842246262,0.71875,0.967741935483871,1.0,0.032258064516129004,0.0,0.0,0.0,0.33714569122578686,0.0,4.0,8.0,1.46875,74.45875000000001,4.861250000000002,8.200000000000001,138,120,258,32768,False,120,120,0.1891891891891892,0.08108108108108109,0.05405405405405406,0.0,0.0
